keys,it
Aggiunge 4 danni a quello che già fa.,Aggiunge 4 danni a quello che già fa.
Aggiunge 5 di scudo a quello che già fa.,Aggiunge 5 di scudo a quello che già fa.
"Al suo posto ne arriva un'altra dalla pila. Le lente picchiano forte, le svelte insistono.","Al suo posto ne arriva un'altra dalla pila. Le lente picchiano forte, le svelte insistono."
"Ali, fuoco e fretta: picchia da veterano e manda avanti la fila.","Ali, fuoco e fretta: picchia da veterano e manda avanti la fila."
Allora aspetteremo.,Allora aspetteremo.
Allora avete vinto qualcosa di più importante.,Allora avete vinto qualcosa di più importante.
Allora cominciamo.,Allora cominciamo.
Allora dovrò vincere.,Allora dovrò vincere.
Allora torneremo a parlarne.,Allora torneremo a parlarne.
Allunga di %d secondi l'attesa avversaria,Allunga di %d secondi l'attesa avversaria
Allunga di %d secondo l'attesa avversaria,Allunga di %d secondo l'attesa avversaria
"Allunga i tempi degli altri, e li rende più piccoli.","Allunga i tempi degli altri, e li rende più piccoli."
Allunga la catena di %d anelli,Allunga la catena di %d anelli
Allunga la catena di %d anello,Allunga la catena di %d anello
Anche se stai benissimo.,Anche se stai benissimo.
Anche se sto benissimo?,Anche se sto benissimo?
Annulla,Annulla
Antig,Antig
Appare un professore selvatico,Appare un professore selvatico
Apre la valigetta.,Apre la valigetta.
Ascoltalo fino in fondo,Ascoltalo fino in fondo
Aspetta il 30% in meno.,Aspetta il 30% in meno.
"Aspetta, cosa?","Aspetta, cosa?"
Aspetta. Prima passiamo dalla bottega: non ti siedi col mazzo che ti sei trovato in mano.,Aspetta. Prima passiamo dalla bottega: non ti siedi col mazzo che ti sei trovato in mano.
Asso,Asso
Asso di Bastoni,Asso di Bastoni
Asso di Coppe,Asso di Coppe
Asso di Cuori,Asso di Cuori
Asso di Denari,Asso di Denari
Asso di Fiori,Asso di Fiori
Asso di Picche,Asso di Picche
Asso di Quadri,Asso di Quadri
Asso di Spade,Asso di Spade
Attesa,Attesa
"Attivandosi diventa %s, per il resto della partita","Attivandosi diventa %s, per il resto della partita"
Avanti,Avanti
Avete qualche minuto.,Avete qualche minuto.
Avversario,Avversario
BONUS,BONUS
Balla fino all'alba,Balla fino all'alba
Balsamo,Balsamo
Bastoni,Bastoni
Battaglie giocate,Battaglie giocate
"Batte il ferro senza alzare la testa. «Lasciami una carta, te la restituisco meglio di come me l'hai data.»","Batte il ferro senza alzare la testa. «Lasciami una carta, te la restituisco meglio di come me l'hai data.»"
Bene.,Bene.
Bene. Adesso vediamo se hai davvero capito.,Bene. Adesso vediamo se hai davvero capito.
Blocco,Blocco
Blu,Blu
Borraccia del Vignaiolo Immortale,Borraccia del Vignaiolo Immortale
Borsello,Borsello
Bottega Angelini,Bottega Angelini
Bottega Angelini. Ci si passa prima di ogni sfida.,Bottega Angelini. Ci si passa prima di ogni sfida.
Bottiglia di Bianchello Mezza Piena,Bottiglia di Bianchello Mezza Piena
Briscola,Briscola
Briscola — le carte di campagna,Briscola — le carte di campagna
Brucia %d carta avversaria in campo,Brucia %d carta avversaria in campo
Brucia %d carte avversarie in campo,Brucia %d carte avversarie in campo
Brucia una carta avversaria: la scarta senza farla partire.,Brucia una carta avversaria: la scarta senza farla partire.
Buff di slot,Buff di slot
Buongiorno.,Buongiorno.
Butta una carta (%d),Butta una carta (%d)
Button,Button
C,C
CATENA,CATENA
CUR,CUR
Calice del Rabbercio,Calice del Rabbercio
Cambia Colore,Cambia Colore
Canon,Canon
"Capelli bianchi e le linee evolutive imparate a memoria. Non improvvisa: costruisce, e quando ha finito di costruire hai già perso.","Capelli bianchi e le linee evolutive imparate a memoria. Non improvvisa: costruisce, e quando ha finito di costruire hai già perso."
Carica: colpisce e affretta di due secondi le tue altre carte.,Carica: colpisce e affretta di due secondi le tue altre carte.
Carte,Carte
Carte nel mazzo,Carte nel mazzo
Catena,Catena
Cavallo,Cavallo
Cavallo di Bastoni,Cavallo di Bastoni
Cavallo di Coppe,Cavallo di Coppe
Cavallo di Denari,Cavallo di Denari
Cavallo di Spade,Cavallo di Spade
Cerca riparo e aspetta,Cerca riparo e aspetta
Che cominci la partita.,Che cominci la partita.
Che è successo?,Che è successo?
Chi la guarda mezza piena regge un colpo in più e parte con qualcosa addosso.,Chi la guarda mezza piena regge un colpo in più e parte con qualcosa addosso.
"Chi li recupera li rimette in campo più grossi: Coppe, Fiori, l'Otto, l'innesto Eco.","Chi li recupera li rimette in campo più grossi: Coppe, Fiori, l'Otto, l'innesto Eco."
"Chi lo porta perde spesso, e proprio per questo ha imparato ad avere due vite di scorta.","Chi lo porta perde spesso, e proprio per questo ha imparato ad avere due vite di scorta."
Chi sa leggere la terra la fa rendere di più: le carte di briscola valgono uno in più.,Chi sa leggere la terra la fa rendere di più: le carte di briscola valgono uno in più.
Chiedigli qualcosa di più fino,Chiedigli qualcosa di più fino
Chiudi,Chiudi
Cinque,Cinque
"Cinque carte in vetrina, cambiano a ogni passaggio. Passaci sopra il mouse e leggi tutto.","Cinque carte in vetrina, cambiano a ogni passaggio. Passaci sopra il mouse e leggi tutto."
Cinque di Bastoni,Cinque di Bastoni
Cinque di Blu,Cinque di Blu
Cinque di Coppe,Cinque di Coppe
Cinque di Cuori,Cinque di Cuori
Cinque di Denari,Cinque di Denari
Cinque di Fiori,Cinque di Fiori
Cinque di Giallo,Cinque di Giallo
Cinque di Picche,Cinque di Picche
Cinque di Quadri,Cinque di Quadri
Cinque di Rosso,Cinque di Rosso
Cinque di Spade,Cinque di Spade
Cinque di Verde,Cinque di Verde
"Cinque posti per lato. Le tue di sotto, le mie di sopra. Giocano da sole.","Cinque posti per lato. Le tue di sotto, le mie di sopra. Giocano da sole."
Colpisce due volte: una piena e una da quattro.,Colpisce due volte: una piena e una da quattro.
Colpisce e brucia la carta avversaria più vicina a partire.,Colpisce e brucia la carta avversaria più vicina a partire.
Colpisce e dà una spinta di un secondo alle tue altre carte.,Colpisce e dà una spinta di un secondo alle tue altre carte.
"Colpisce più forte di quanto dovrebbe, e ti presenta il conto.","Colpisce più forte di quanto dovrebbe, e ti presenta il conto."
"Colpisce più forte, e accorcia l'attesa di tutto il resto.","Colpisce più forte, e accorcia l'attesa di tutto il resto."
Colpo che buca,Colpo che buca
Combatti,Combatti
Come promesso.,Come promesso.
Come?,Come?
Cominciamo.,Cominciamo.
Compra quello che puoi,Compra quello che puoi
Compra quello che tiene sotto il banco,Compra quello che tiene sotto il banco
Con una partita.,Con una partita.
Continua,Continua
Continuerà a crescere.,Continuerà a crescere.
Coppe,Coppe
"Coppola e sorriso storto. Ti rompe il ritmo, e mentre riprendi fiato ti mette giù una figura.","Coppola e sorriso storto. Ti rompe il ritmo, e mentre riprendi fiato ti mette giù una figura."
Cos'è stato?,Cos'è stato?
Cosa?,Cosa?
Creatura cresciuta,Creatura cresciuta
Creature cresciute,Creature cresciute
Credits,Credits
Cresciuto male e di cattivo umore: paralizza più a lungo e picchia di più.,Cresciuto male e di cattivo umore: paralizza più a lungo e picchia di più.
"Crescono più piano. Non c'è un mazzo giusto: c'è il tuo, e quello che hai davanti.","Crescono più piano. Non c'è un mazzo giusto: c'è il tuo, e quello che hai davanti."
Cucciolo,Cucciolo
Cucciolo di Acqua,Cucciolo di Acqua
Cucciolo di Elettro,Cucciolo di Elettro
Cucciolo di Erba,Cucciolo di Erba
Cucciolo di Fuoco,Cucciolo di Fuoco
Cuori,Cuori
Cura,Cura
Cura 4 in più ogni volta che parte.,Cura 4 in più ogni volta che parte.
Cura e lascia sei di scudo.,Cura e lascia sei di scudo.
"Cura e ripara, senza fare rumore.","Cura e ripara, senza fare rumore."
"Cura poco, ma torna in fondo al mazzo una volta.","Cura poco, ma torna in fondo al mazzo una volta."
Cura tanto e torna in fondo al mazzo: due volte.,Cura tanto e torna in fondo al mazzo: due volte.
"Cura tanto, e ripesca quello che avevi già buttato.","Cura tanto, e ripesca quello che avevi già buttato."
Da dove ricominciamo?,Da dove ricominciamo?
Da qui vedi tutto quello che hai.,Da qui vedi tutto quello che hai.
Da qui.,Da qui.
Dagli una mano nei campi,Dagli una mano nei campi
Dal bar.,Dal bar.
Dal bar?,Dal bar?
Dal suo simbolo.,Dal suo simbolo.
Danni,Danni
Deckbox da Briscola,Deckbox da Briscola
Deckbox da Gaiofanamon,Deckbox da Gaiofanamon
Deckbox da Poker,Deckbox da Poker
Deckbox da Uan,Deckbox da Uan
Denari,Denari
"Dentro si mangia, si beve e si parla troppo. L'oste ti guarda come si guarda un cliente.","Dentro si mangia, si beve e si parla troppo. L'oste ti guarda come si guarda un cliente."
Dieci,Dieci
Dieci di Cuori,Dieci di Cuori
Dieci di Fiori,Dieci di Fiori
Dieci di Picche,Dieci di Picche
Dieci di Quadri,Dieci di Quadri
"Dieci partite: i nove che manda la Megacorp, e poi il capo.","Dieci partite: i nove che manda la Megacorp, e poi il capo."
Dietro il vetro c'è un uomo che compra tutto e non chiede mai niente.,Dietro il vetro c'è un uomo che compra tutto e non chiede mai niente.
Difenderlo.,Difenderlo.
Dobbiamo diventare più bravi.,Dobbiamo diventare più bravi.
Donna,Donna
Donna di Cuori,Donna di Cuori
Donna di Fiori,Donna di Fiori
Donna di Picche,Donna di Picche
Donna di Quadri,Donna di Quadri
Dopo arriva il capo.,Dopo arriva il capo.
Dopo continueremo con il resto della città.,Dopo continueremo con il resto della città.
Dopo essersi attivata cresce di livello e va negli scarti. ,Dopo essersi attivata cresce di livello e va negli scarti. 
Dopo la sfida,Dopo la sfida
"Dopo tutti quelli che abbiamo battuto, vieni tu.","Dopo tutti quelli che abbiamo battuto, vieni tu."
Dovresti essere preoccupato.,Dovresti essere preoccupato.
Drag,Drag
Due,Due
"Due cannoni sulla schiena: niente ti resta addosso, e la vita torna su.","Due cannoni sulla schiena: niente ti resta addosso, e la vita torna su."
Due di Bastoni,Due di Bastoni
Due di Blu,Due di Blu
Due di Coppe,Due di Coppe
Due di Cuori,Due di Cuori
Due di Denari,Due di Denari
Due di Fiori,Due di Fiori
Due di Giallo,Due di Giallo
Due di Picche,Due di Picche
Due di Quadri,Due di Quadri
Due di Rosso,Due di Rosso
Due di Spade,Due di Spade
Due di Verde,Due di Verde
E Gaiofana?,E Gaiofana?
E adesso anche te.,E adesso anche te.
E allora?,E allora?
E avete scelto questo posto.,E avete scelto questo posto.
E chi perde ritrova davanti lo stesso avversario.,E chi perde ritrova davanti lo stesso avversario.
E cosa possiamo fare?,E cosa possiamo fare?
E da qui si butta.,E da qui si butta.
E dopo di loro?,E dopo di loro?
E dopo?,E dopo?
"E gioca a carte. Mi chiamo GiGi, sono la mascotte del bar.","E gioca a carte. Mi chiamo GiGi, sono la mascotte del bar."
E gli altri?,E gli altri?
E ho perso contro di te.,E ho perso contro di te.
E il Baro?,E il Baro?
E il bar cresce con lei.,E il bar cresce con lei.
E il bar?,E il bar?
E la Megacorp vuole entrarci.,E la Megacorp vuole entrarci.
E la Megacorp vuole integrarla.,E la Megacorp vuole integrarla.
E la città?,E la città?
E noi saremo qui.,E noi saremo qui.
E non lo avrete.,E non lo avrete.
E quando crescerà?,E quando crescerà?
E questo bar interessa a tutta Gaiofana.,E questo bar interessa a tutta Gaiofana.
E quindi?,E quindi?
E se non trovo niente che li recupera?,E se non trovo niente che li recupera?
E se perdiamo?,E se perdiamo?
E se vinciamo?,E se vinciamo?
E se vinco io?,E se vinco io?
E sei bravo?,E sei bravo?
E tu lo sei?,E tu lo sei?
E tu un giocatore che non ha mai giocato. Siamo alla pari.,E tu un giocatore che non ha mai giocato. Siamo alla pari.
E tu?,E tu?
E' Canon,E' Canon
E' dragh,E' dragh
Ecco cosa speravo di sentire.,Ecco cosa speravo di sentire.
Eco,Eco
Effetti,Effetti
"Effetto doppio, ma due secondi e mezzo in più di attesa.","Effetto doppio, ma due secondi e mezzo in più di attesa."
Elettro,Elettro
Eppure siete venuti fin qui per prenderlo.,Eppure siete venuti fin qui per prenderlo.
Erano bravi.,Erano bravi.
Erba,Erba
Esatto.,Esatto.
Esce.,Esce.
Estrae un mazzo.,Estrae un mazzo.
Evoluzione,Evoluzione
F,F
FATTO DA,FATTO DA
Fa scartare %d carta dal mazzo avversario,Fa scartare %d carta dal mazzo avversario
Fa scartare %d carte dal mazzo avversario,Fa scartare %d carte dal mazzo avversario
Fa scudo e impasta le carte avversarie per un secondo e mezzo.,Fa scudo e impasta le carte avversarie per un secondo e mezzo.
Fante,Fante
Fante di Bastoni,Fante di Bastoni
Fante di Coppe,Fante di Coppe
Fante di Cuori,Fante di Cuori
Fante di Denari,Fante di Denari
Fante di Fiori,Fante di Fiori
Fante di Picche,Fante di Picche
Fante di Quadri,Fante di Quadri
Fante di Spade,Fante di Spade
Fate pure.,Fate pure.
Fatti affilare una carta,Fatti affilare una carta
Fegato del Salvatore,Fegato del Salvatore
Ferma il tempo sulla carta avversaria più vicina a partire.,Ferma il tempo sulla carta avversaria più vicina a partire.
Fermo. In vetrina è arrivata roba nuova.,Fermo. In vetrina è arrivata roba nuova.
Ferrato,Ferrato
Finalmente.,Finalmente.
Finché non premi «Combatti» non è successo niente. Al tavolo no: lì si guarda e basta.,Finché non premi «Combatti» non è successo niente. Al tavolo no: lì si guarda e basta.
Fino a fine battaglia,Fino a fine battaglia
Fionda,Fionda
Fiori,Fiori
Forse perché ha perso.,Forse perché ha perso.
Frutta 2 monete ogni volta che parte.,Frutta 2 monete ogni volta che parte.
Fughett,Fughett
Fuoco,Fuoco
GAIOFANA È PRONTA A CRESCERE.,GAIOFANA È PRONTA A CRESCERE.
GAIOFANA È SOLO ALL'INIZIO.,GAIOFANA È SOLO ALL'INIZIO.
GELO,GELO
GIOCA,GIOCA
Gabriele Baffoni,Gabriele Baffoni
Gaiofana continuerà a crescere.,Gaiofana continuerà a crescere.
Gaiofana sta crescendo.,Gaiofana sta crescendo.
Gaiofana sta crescendo. Presto sarà una città vera e propria.,Gaiofana sta crescendo. Presto sarà una città vera e propria.
Gaiofanamon,Gaiofanamon
Gaiofanamon — le creature che crescono,Gaiofanamon — le creature che crescono
Germoglio,Germoglio
GiGi,GiGi
GiGi alza le braccia.,GiGi alza le braccia.
GiGi si avvicina al protagonista.,GiGi si avvicina al protagonista.
GiGi torna da dietro il bancone con un mazzetto legato con un elastico.,GiGi torna da dietro il bancone con un mazzetto legato con un elastico.
Giallo,Giallo
Gioca alla tombola,Gioca alla tombola
Gioca ancora,Gioca ancora
"Gioca carte piccole, e le carte piccole gli valgono più di quello che c'è scritto sopra. Più dura la partita, più diventano efficienti.","Gioca carte piccole, e le carte piccole gli valgono più di quello che c'è scritto sopra. Più dura la partita, più diventano efficienti."
Gioco,Gioco
Gli altri arriveranno.,Gli altri arriveranno.
"Gli anziani dei bar che stai cercando di salvare hanno fatto una colletta. Non è molto, ma è quello che avevano.","Gli anziani dei bar che stai cercando di salvare hanno fatto una colletta. Non è molto, ma è quello che avevano."
"Gli innesti si mettono sopra una carta: scegli l'innesto, poi la carta. Due per carta.","Gli innesti si mettono sopra una carta: scegli l'innesto, poi la carta. Due per carta."
Godetevi il bar finché potete.,Godetevi il bar finché potete.
Goditi questa vittoria.,Goditi questa vittoria.
Guarda come gioca,Guarda come gioca
Guarda il bar.,Guarda il bar.
Guarda il locale.,Guarda il locale.
"Ha detto ""partita""?","Ha detto ""partita""?"
Ha imparato a mirare. Lava via quello che rode e cura il doppio di prima.,Ha imparato a mirare. Lava via quello che rode e cura il doppio di prima.
Hai battuto tutti gli uomini che abbiamo mandato.,Hai battuto tutti gli uomini che abbiamo mandato.
Hai difeso il simbolo di una città che deve ancora diventare grande.,Hai difeso il simbolo di una città che deve ancora diventare grande.
Hai giocato bene. Non abbastanza bene.,Hai giocato bene. Non abbastanza bene.
Hai perso.,Hai perso.
Hai preso: %s,Hai preso: %s
Hai sconfitto tutti i miei uomini per arrivare fino a me.,Hai sconfitto tutti i miei uomini per arrivare fino a me.
Hai sconfitto tutti i nostri uomini.,Hai sconfitto tutti i nostri uomini.
Hai una partita in corso: ricominciare da capo?,Hai una partita in corso: ricominciare da capo?
Hai visto il cartello della Megacorp?,Hai visto il cartello della Megacorp?
Hanno mandato degli scagnozzi.,Hanno mandato degli scagnozzi.
Ho sentito parlare di te.,Ho sentito parlare di te.
I,I
"I conti tornano sempre: quattro monete in più a round, e in bottega si tira sul prezzo.","I conti tornano sempre: quattro monete in più a round, e in bottega si tira sul prezzo."
II,II
III,III
IL BAR È STATO DIFESO.,IL BAR È STATO DIFESO.
IL BAR È STATO PERSO.,IL BAR È STATO PERSO.
IL TUO MAZZO,IL TUO MAZZO
INIZIO PARTITA.,INIZIO PARTITA.
INNESTI,INNESTI
Il Baro,Il Baro
Il Baro appoggia il mazzo sul tavolo.,Il Baro appoggia il mazzo sul tavolo.
Il Baro guarda il protagonista.,Il Baro guarda il protagonista.
Il Baro osserva il risultato della partita.,Il Baro osserva il risultato della partita.
Il Baro raccoglie le proprie carte.,Il Baro raccoglie le proprie carte.
Il Baro resta in silenzio per un momento.,Il Baro resta in silenzio per un momento.
Il Baro ritorna al tavolo e sistema le proprie carte.,Il Baro ritorna al tavolo e sistema le proprie carte.
Il Baro si allontana dal tavolo. GiGi ci salta sopra.,Il Baro si allontana dal tavolo. GiGi ci salta sopra.
Il Baro si allontana.,Il Baro si allontana.
Il Fabbro,Il Fabbro
Il Professore,Il Professore
Il Signorotto,Il Signorotto
Il Valore della Vigna,Il Valore della Vigna
Il Vecchio Contadino,Il Vecchio Contadino
Il banco dei pegni,Il banco dei pegni
Il bar,Il bar
Il bar esplode in un'esultanza.,Il bar esplode in un'esultanza.
Il bar resta nostro.,Il bar resta nostro.
Il bar resterà qui.,Il bar resterà qui.
Il bar rimane acceso nel centro della città.,Il bar rimane acceso nel centro della città.
Il bar è salvo.,Il bar è salvo.
Il barista,Il barista
Il bocciolo si è aperto: semina come prima e cura di più.,Il bocciolo si è aperto: semina come prima e cura di più.
Il cielo si chiude in dieci minuti. Il carro è scoperto e il paese è ancora lontano.,Il cielo si chiude in dieci minuti. Il carro è scoperto e il paese è ancora lontano.
Il colore attraversa i mazzi: Cuori e Quadri sono rosse quanto il Rosso di One.,Il colore attraversa i mazzi: Cuori e Quadri sono rosse quanto il Rosso di One.
"Il colpo più pesante del mazzo, e porta via anche una carta.","Il colpo più pesante del mazzo, e porta via anche una carta."
Il conto torna: quattro monete in più.,Il conto torna: quattro monete in più.
Il fiore è grande quanto lui. Semina e ti rimette in piedi.,Il fiore è grande quanto lui. Semina e ti rimette in piedi.
Il gestore,Il gestore
Il gestore annuisce.,Il gestore annuisce.
Il gestore esce da dietro il bancone.,Il gestore esce da dietro il bancone.
Il giocatore,Il giocatore
Il mazzo è già al minimo,Il mazzo è già al minimo
Il piazzale è pieno di banchi. Hai un carro mezzo vuoto e tutto il pomeriggio davanti.,Il piazzale è pieno di banchi. Hai un carro mezzo vuoto e tutto il pomeriggio davanti.
"Il protagonista entra nel bar. L'atmosfera è stranamente silenziosa. Sul bancone ci sono documenti, carte e un grosso cartello con il logo della Megacorp.","Il protagonista entra nel bar. L'atmosfera è stranamente silenziosa. Sul bancone ci sono documenti, carte e un grosso cartello con il logo della Megacorp."
Il protagonista guarda GiGi.,Il protagonista guarda GiGi.
Il protagonista guarda fuori dalla finestra.,Il protagonista guarda fuori dalla finestra.
Il protagonista guarda il bar.,Il protagonista guarda il bar.
Il protagonista rimane immobile.,Il protagonista rimane immobile.
Il pupazzo parla?,Il pupazzo parla?
Il tavolo,Il tavolo
Il tavolo si illumina.,Il tavolo si illumina.
Il tempo per quella carta si ferma: non avanza verso la sua ,Il tempo per quella carta si ferma: non avanza verso la sua 
Il temporale,Il temporale
"Il vecchio del posto. Quando si sveglia mette nel mazzo una creatura di livello uno, e non si sa quale.","Il vecchio del posto. Quando si sveglia mette nel mazzo una creatura di livello uno, e non si sa quale."
Il vecchio sull'aia,Il vecchio sull'aia
"Il veleno lavora piano, e non se ne va più.","Il veleno lavora piano, e non se ne va più."
Impegna due carte,Impegna due carte
Indietro,Indietro
Innesto messo su %s,Innesto messo su %s
Interessante.,Interessante.
J,J
Jolly,Jolly
K,K
L'Oste,L'Oste
L'Ubriacone,L'Ubriacone
L'antigh,L'antigh
"L'autobriscola si gioca da soli. Tu prepari il mazzo, le carte fanno il resto.","L'autobriscola si gioca da soli. Tu prepari il mazzo, le carte fanno il resto."
L'avversario,L'avversario
L'aziana,L'aziana
L'effetto vale una volta e mezza.,L'effetto vale una volta e mezza.
"L'oro arriva vincendo, e dalle carte che ne fanno.","L'oro arriva vincendo, e dalle carte che ne fanno."
L'osteria sulla via,L'osteria sulla via
LE TUE RELIQUIE,LE TUE RELIQUIE
La Ladra,La Ladra
La Megacorp lo prende.,La Megacorp lo prende.
La Megacorp prende il bar.,La Megacorp prende il bar.
La Vecchia,La Vecchia
La bottega del fabbro,La bottega del fabbro
La carta del protagonista viene posata sul tavolo.,La carta del protagonista viene posata sul tavolo.
La catena non parte da zero: comincia ogni battaglia con due anelli già fatti.,La catena non parte da zero: comincia ogni battaglia con due anelli già fatti.
La città appare attraverso le finestre.,La città appare attraverso le finestre.
La colletta,La colletta
La crescita **resta per il resto della partita**: dal round dopo nel mazzo c'è ,La crescita **resta per il resto della partita**: dal round dopo nel mazzo c'è 
"La cura rimette vita, mai oltre il massimo.","La cura rimette vita, mai oltre il massimo."
La fiera del paese,La fiera del paese
La partita di prova,La partita di prova
La partita finisce qui,La partita finisce qui
La partita finisce qui.,La partita finisce qui.
"La porta si apre. Entra IL BARO, rappresentante della Megacorp, con una valigetta.","La porta si apre. Entra IL BARO, rappresentante della Megacorp, con una valigetta."
La prossima volta vincerò.,La prossima volta vincerò.
La sagra di mezz'agosto,La sagra di mezz'agosto
La sfida è conclusa.,La sfida è conclusa.
La tua compagna arriva sbuffando: un altro sabato pomeriggio buttato a giocare a carte invece di andare al centro commerciale con lei. La situazione è tesa. Devi scegliere.,La tua compagna arriva sbuffando: un altro sabato pomeriggio buttato a giocare a carte invece di andare al centro commerciale con lei. La situazione è tesa. Devi scegliere.
La visuale si allontana.,La visuale si allontana.
Label,Label
Lama,Lama
Lava via quello che rode: veleno e sanguinamento se ne vanno.,Lava via quello che rode: veleno e sanguinamento se ne vanno.
Le carte di GiGi,Le carte di GiGi
Le carte vengono distribuite.,Le carte vengono distribuite.
"Le conosci tutte, e sai già cosa sanno fare: i Gaiofanamon valgono due in più.","Le conosci tutte, e sai già cosa sanno fare: i Gaiofanamon valgono due in più."
Le insegne della Megacorp illuminano una parte di Gaiofana.,Le insegne della Megacorp illuminano una parte di Gaiofana.
Le insegne della città si accendono una dopo l'altra.,Le insegne della città si accendono una dopo l'altra.
Le linee evolutive imparate a memoria: le creature si fanno aspettare un quinto di meno.,Le linee evolutive imparate a memoria: le creature si fanno aspettare un quinto di meno.
Le luci del bar si spengono.,Le luci del bar si spengono.
Le prime due volte che si scarta torna in fondo al mazzo.,Le prime due volte che si scarta torna in fondo al mazzo.
Le prime luci della città si accendono.,Le prime luci della città si accendono.
Le reliquie si comprano una volta e valgono per tutta la partita. Non vanno nel mazzo.,Le reliquie si comprano una volta e valgono per tutta la partita. Non vanno nel mazzo.
"Le vite sono il tempo che hai. Perdere presto costa una vita, perdere tardi tre.","Le vite sono il tempo che hai. Perdere presto costa una vita, perdere tardi tre."
"Lente, effetti grossi. Consumano poco mazzo e vincono per esaurimento.","Lente, effetti grossi. Consumano poco mazzo e vincono per esaurimento."
Lo sappiamo.,Lo sappiamo.
Lo scambio,Lo scambio
Lo scudo si mangia i danni prima della vita. Veleno e sanguinamento gli passano attraverso.,Lo scudo si mangia i danni prima della vita. Veleno e sanguinamento gli passano attraverso.
Lo so.,Lo so.
Lo sono.,Lo sono.
Lo vedremo.,Lo vedremo.
Luca Tamburini,Luca Tamburini
MA LA MEGACORP NON HA FINITO.,MA LA MEGACORP NON HA FINITO.
MELON HUSK VS PROTAGONISTA,MELON HUSK VS PROTAGONISTA
Ma abbiamo deciso di darvi una possibilità.,Ma abbiamo deciso di darvi una possibilità.
"Ma il Blocco la spegne, e il Pesca Quattro te lo mescola nel mazzo.","Ma il Blocco la spegne, e il Pesca Quattro te lo mescola nel mazzo."
Ma non abbastanza da arrendermi.,Ma non abbastanza da arrendermi.
Mangia come si deve,Mangia come si deve
Mangia e riposa,Mangia e riposa
Manuale Definitivo del Gaiofanamon,Manuale Definitivo del Gaiofanamon
Mascotte e allenatore.,Mascotte e allenatore.
Matteo Masini,Matteo Masini
Melassa,Melassa
Melon Husk,Melon Husk
Melon Husk guarda GiGi.,Melon Husk guarda GiGi.
Melon Husk guarda il locale.,Melon Husk guarda il locale.
Melon Husk lo ignora.,Melon Husk lo ignora.
Melon Husk osserva il risultato della partita.,Melon Husk osserva il risultato della partita.
Melon Husk si alza.,Melon Husk si alza.
Melon Husk si ferma sulla porta.,Melon Husk si ferma sulla porta.
Melon Husk si ferma.,Melon Husk si ferma.
Melon Husk si siede.,Melon Husk si siede.
